Comunidades Autónomas, Provincias y Municipios;Consumo eléctrico;Total
04002 Abrucena *;Viviendas con cosumo entre 5.001 y 6.000 kwh;29
04002 Abrucena *;Viviendas con cosumo entre 6.001 y 7.000 kwh;10
04002 Abrucena *;Viviendas con cosumo entre 7.001 y 8.000 kwh;7
04002 Abrucena *;Viviendas con cosumo entre 8.001 y 9.000 kwh;7
04002 Abrucena *;Viviendas con cosumo entre 9.001 y 10.000 kwh;3
04002 Abrucena *;Viviendas con consumo mayor de 10.000 kwh;13
04003 Adra;Viviendas totales;12.315
04003 Adra;Viviendas vacías;1.189
04003 Adra;Mediana consumo anual;2.133
04003 Adra;Viviendas con bajo consumo;419
04003 Adra;Viviendas de uso esporádico;1.252
04003 Adra;Viviendas de uso esporádico (entre 251 y 500 kwh);576
04003 Adra;Viviendas de uso esporádico (entre 501 y 750 kwh);676
04003 Adra;Viviendas con cosumo entre 751 y 1.000 kwh;736
04003 Adra;Viviendas con cosumo entre 1.001 y 2.000 kwh;2.994
04003 Adra;Viviendas con cosumo entre 2.001 y 3.000 kwh;2.415
04003 Adra;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.610
04003 Adra;Viviendas con cosumo entre 4.001 y 5.000 kwh;835
04003 Adra;Viviendas con cosumo entre 5.001 y 6.000 kwh;405
04003 Adra;Viviendas con cosumo entre 6.001 y 7.000 kwh;197
04003 Adra;Viviendas con cosumo entre 7.001 y 8.000 kwh;91
04003 Adra;Viviendas con cosumo entre 8.001 y 9.000 kwh;46
04003 Adra;Viviendas con cosumo entre 9.001 y 10.000 kwh;32
04003 Adra;Viviendas con consumo mayor de 10.000 kwh;94
04006 Albox;Viviendas totales;6.919
04006 Albox;Viviendas vacías;1.520
04006 Albox;Mediana consumo anual;2.406
04006 Albox;Viviendas con bajo consumo;220
04006 Albox;Viviendas de uso esporádico;569
04006 Albox;Viviendas de uso esporádico (entre 251 y 500 kwh);279
04006 Albox;Viviendas de uso esporádico (entre 501 y 750 kwh);290
04006 Albox;Viviendas con cosumo entre 751 y 1.000 kwh;268
04006 Albox;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.281
04006 Albox;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.102
04006 Albox;Viviendas con cosumo entre 3.001 y 4.000 kwh;840
04006 Albox;Viviendas con cosumo entre 4.001 y 5.000 kwh;465
04006 Albox;Viviendas con cosumo entre 5.001 y 6.000 kwh;252
04006 Albox;Viviendas con cosumo entre 6.001 y 7.000 kwh;141
04006 Albox;Viviendas con cosumo entre 7.001 y 8.000 kwh;77
04006 Albox;Viviendas con cosumo entre 8.001 y 9.000 kwh;50
04006 Albox;Viviendas con cosumo entre 9.001 y 10.000 kwh;33
04006 Albox;Viviendas con consumo mayor de 10.000 kwh;101
04011 Alhama de Almería;Viviendas totales;2.336
04011 Alhama de Almería;Viviendas vacías;488
04011 Alhama de Almería;Mediana consumo anual;2.322
04011 Alhama de Almería;Viviendas con bajo consumo;83
04011 Alhama de Almería;Viviendas de uso esporádico;251
04011 Alhama de Almería;Viviendas de uso esporádico (entre 251 y 500 kwh);125
04011 Alhama de Almería;Viviendas de uso esporádico (entre 501 y 750 kwh);126
