Comunidades Autónomas, Provincias y Municipios;Consumo eléctrico;Total
50247 Sobradiel;Viviendas con cosumo entre 1.001 y 2.000 kwh;71
50247 Sobradiel;Viviendas con cosumo entre 2.001 y 3.000 kwh;112
50247 Sobradiel;Viviendas con cosumo entre 3.001 y 4.000 kwh;92
50247 Sobradiel;Viviendas con cosumo entre 4.001 y 5.000 kwh;51
50247 Sobradiel;Viviendas con cosumo entre 5.001 y 6.000 kwh;28
50247 Sobradiel;Viviendas con cosumo entre 6.001 y 7.000 kwh;14
50247 Sobradiel;Viviendas con cosumo entre 7.001 y 8.000 kwh;8
50247 Sobradiel;Viviendas con cosumo entre 8.001 y 9.000 kwh;5
50247 Sobradiel;Viviendas con cosumo entre 9.001 y 10.000 kwh;3
50247 Sobradiel;Viviendas con consumo mayor de 10.000 kwh;12
50251 Tarazona;Viviendas totales;7.081
50251 Tarazona;Viviendas vacías;1.474
50251 Tarazona;Mediana consumo anual;2.000
50251 Tarazona;Viviendas con bajo consumo;287
50251 Tarazona;Viviendas de uso esporádico;680
50251 Tarazona;Viviendas de uso esporádico (entre 251 y 500 kwh);345
50251 Tarazona;Viviendas de uso esporádico (entre 501 y 750 kwh);335
50251 Tarazona;Viviendas con cosumo entre 751 y 1.000 kwh;325
50251 Tarazona;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.655
50251 Tarazona;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.388
50251 Tarazona;Viviendas con cosumo entre 3.001 y 4.000 kwh;685
50251 Tarazona;Viviendas con cosumo entre 4.001 y 5.000 kwh;267
50251 Tarazona;Viviendas con cosumo entre 5.001 y 6.000 kwh;98
50251 Tarazona;Viviendas con cosumo entre 6.001 y 7.000 kwh;75
50251 Tarazona;Viviendas con cosumo entre 7.001 y 8.000 kwh;39
50251 Tarazona;Viviendas con cosumo entre 8.001 y 9.000 kwh;37
50251 Tarazona;Viviendas con cosumo entre 9.001 y 10.000 kwh;18
50251 Tarazona;Viviendas con consumo mayor de 10.000 kwh;53
50252 Tauste;Viviendas totales;3.969
50252 Tauste;Viviendas vacías;889
50252 Tauste;Mediana consumo anual;2.618
50252 Tauste;Viviendas con bajo consumo;111
50252 Tauste;Viviendas de uso esporádico;285
50252 Tauste;Viviendas de uso esporádico (entre 251 y 500 kwh);154
50252 Tauste;Viviendas de uso esporádico (entre 501 y 750 kwh);131
50252 Tauste;Viviendas con cosumo entre 751 y 1.000 kwh;135
50252 Tauste;Viviendas con cosumo entre 1.001 y 2.000 kwh;626
50252 Tauste;Viviendas con cosumo entre 2.001 y 3.000 kwh;711
50252 Tauste;Viviendas con cosumo entre 3.001 y 4.000 kwh;517
50252 Tauste;Viviendas con cosumo entre 4.001 y 5.000 kwh;275
50252 Tauste;Viviendas con cosumo entre 5.001 y 6.000 kwh;165
50252 Tauste;Viviendas con cosumo entre 6.001 y 7.000 kwh;85
50252 Tauste;Viviendas con cosumo entre 7.001 y 8.000 kwh;63
50252 Tauste;Viviendas con cosumo entre 8.001 y 9.000 kwh;29
50252 Tauste;Viviendas con cosumo entre 9.001 y 10.000 kwh;25
50252 Tauste;Viviendas con consumo mayor de 10.000 kwh;53
50262 Torres de Berrellén;Viviendas totales;888
50262 Torres de Berrellén;Viviendas vacías;169
50262 Torres de Berrellén;Mediana consumo anual;2.814
50262 Torres de Berrellén;Viviendas con bajo consumo;29
50262 Torres de Berrellén;Viviendas de uso esporádico;61
50262 Torres de Berrellén;Viviendas de uso esporádico (entre 251 y 500 kwh);31
50262 Torres de Berrellén;Viviendas de uso esporádico (entre 501 y 750 kwh);30
50262 Torres de Berrellén;Viviendas con cosumo entre 751 y 1.000 kwh;26
50262 Torres de Berrellén;Viviendas con cosumo entre 1.001 y 2.000 kwh;134
50262 Torres de Berrellén;Viviendas con cosumo entre 2.001 y 3.000 kwh;158
50262 Torres de Berrellén;Viviendas con cosumo entre 3.001 y 4.000 kwh;135
50262 Torres de Berrellén;Viviendas con cosumo entre 4.001 y 5.000 kwh;78
50262 Torres de Berrellén;Viviendas con cosumo entre 5.001 y 6.000 kwh;42
50262 Torres de Berrellén;Viviendas con cosumo entre 6.001 y 7.000 kwh;19
50262 Torres de Berrellén;Viviendas con cosumo entre 7.001 y 8.000 kwh;13
50262 Torres de Berrellén;Viviendas con cosumo entre 8.001 y 9.000 kwh;6
50262 Torres de Berrellén;Viviendas con cosumo entre 9.001 y 10.000 kwh;7
50262 Torres de Berrellén;Viviendas con consumo mayor de 10.000 kwh;11
50272 Utebo;Viviendas totales;8.130
50272 Utebo;Viviendas vacías;354
50272 Utebo;Mediana consumo anual;2.363
50272 Utebo;Viviendas con bajo consumo;136
50272 Utebo;Viviendas de uso esporádico;470
50272 Utebo;Viviendas de uso esporádico (entre 251 y 500 kwh);198
50272 Utebo;Viviendas de uso esporádico (entre 501 y 750 kwh);272
50272 Utebo;Viviendas con cosumo entre 751 y 1.000 kwh;325
50272 Utebo;Viviendas con cosumo entre 1.001 y 2.000 kwh;2.152
50272 Utebo;Viviendas con cosumo entre 2.001 y 3.000 kwh;2.210
50272 Utebo;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.210
50272 Utebo;Viviendas con cosumo entre 4.001 y 5.000 kwh;560
50272 Utebo;Viviendas con cosumo entre 5.001 y 6.000 kwh;262
50272 Utebo;Viviendas con cosumo entre 6.001 y 7.000 kwh;147
50272 Utebo;Viviendas con cosumo entre 7.001 y 8.000 kwh;98
50272 Utebo;Viviendas con cosumo entre 8.001 y 9.000 kwh;77
50272 Utebo;Viviendas con cosumo entre 9.001 y 10.000 kwh;37
50272 Utebo;Viviendas con consumo mayor de 10.000 kwh;92
50288 Villanueva de Gállego;Viviendas totales;2.331
50288 Villanueva de Gállego;Viviendas vacías;247
50288 Villanueva de Gállego;Mediana consumo anual;2.480
50288 Villanueva de Gállego;Viviendas con bajo consumo;52
50288 Villanueva de Gállego;Viviendas de uso esporádico;190
50288 Villanueva de Gállego;Viviendas de uso esporádico (entre 251 y 500 kwh);95
50288 Villanueva de Gállego;Viviendas de uso esporádico (entre 501 y 750 kwh);95
50288 Villanueva de Gállego;Viviendas con cosumo entre 751 y 1.000 kwh;104
50288 Villanueva de Gállego;Viviendas con cosumo entre 1.001 y 2.000 kwh;486
50288 Villanueva de Gállego;Viviendas con cosumo entre 2.001 y 3.000 kwh;462
50288 Villanueva de Gállego;Viviendas con cosumo entre 3.001 y 4.000 kwh;329
50288 Villanueva de Gállego;Viviendas con cosumo entre 4.001 y 5.000 kwh;220
50288 Villanueva de Gállego;Viviendas con cosumo entre 5.001 y 6.000 kwh;92
50288 Villanueva de Gállego;Viviendas con cosumo entre 6.001 y 7.000 kwh;60
50288 Villanueva de Gállego;Viviendas con cosumo entre 7.001 y 8.000 kwh;30
50288 Villanueva de Gállego;Viviendas con cosumo entre 8.001 y 9.000 kwh;15
50288 Villanueva de Gállego;Viviendas con cosumo entre 9.001 y 10.000 kwh;13
50288 Villanueva de Gállego;Viviendas con consumo mayor de 10.000 kwh;31
50297 Zaragoza;Viviendas totales;338.961
50297 Zaragoza;Viviendas vacías;15.792
50297 Zaragoza;Mediana consumo anual;1.984
50297 Zaragoza;Viviendas con bajo consumo;6.737
50297 Zaragoza;Viviendas de uso esporádico;24.571
50297 Zaragoza;Viviendas de uso esporádico (entre 251 y 500 kwh);10.510
50297 Zaragoza;Viviendas de uso esporádico (entre 501 y 750 kwh);14.061
50297 Zaragoza;Viviendas con cosumo entre 751 y 1.000 kwh;20.118
50297 Zaragoza;Viviendas con cosumo entre 1.001 y 2.000 kwh;115.400
50297 Zaragoza;Viviendas con cosumo entre 2.001 y 3.000 kwh;87.168
50297 Zaragoza;Viviendas con cosumo entre 3.001 y 4.000 kwh;37.980
50297 Zaragoza;Viviendas con cosumo entre 4.001 y 5.000 kwh;14.878
50297 Zaragoza;Viviendas con cosumo entre 5.001 y 6.000 kwh;6.607
50297 Zaragoza;Viviendas con cosumo entre 6.001 y 7.000 kwh;3.378
50297 Zaragoza;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.021
50297 Zaragoza;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.183
50297 Zaragoza;Viviendas con cosumo entre 9.001 y 10.000 kwh;786
50297 Zaragoza;Viviendas con consumo mayor de 10.000 kwh;2.342
50298 Zuera;Viviendas totales;4.264
50298 Zuera;Viviendas vacías;451
50298 Zuera;Mediana consumo anual;2.566
50298 Zuera;Viviendas con bajo consumo;85
50298 Zuera;Viviendas de uso esporádico;298
50298 Zuera;Viviendas de uso esporádico (entre 251 y 500 kwh);130
50298 Zuera;Viviendas de uso esporádico (entre 501 y 750 kwh);168
50298 Zuera;Viviendas con cosumo entre 751 y 1.000 kwh;174
50298 Zuera;Viviendas con cosumo entre 1.001 y 2.000 kwh;875
50298 Zuera;Viviendas con cosumo entre 2.001 y 3.000 kwh;887
50298 Zuera;Viviendas con cosumo entre 3.001 y 4.000 kwh;630
50298 Zuera;Viviendas con cosumo entre 4.001 y 5.000 kwh;363
50298 Zuera;Viviendas con cosumo entre 5.001 y 6.000 kwh;186
50298 Zuera;Viviendas con cosumo entre 6.001 y 7.000 kwh;94
50298 Zuera;Viviendas con cosumo entre 7.001 y 8.000 kwh;56
50298 Zuera;Viviendas con cosumo entre 8.001 y 9.000 kwh;58
50298 Zuera;Viviendas con cosumo entre 9.001 y 10.000 kwh;30
50298 Zuera;Viviendas con consumo mayor de 10.000 kwh;77
50903 Villamayor de Gállego;Viviendas totales;1.556
50903 Villamayor de Gállego;Viviendas vacías;461
50903 Villamayor de Gállego;Mediana consumo anual;2.869
50903 Villamayor de Gállego;Viviendas con bajo consumo;39
50903 Villamayor de Gállego;Viviendas de uso esporádico;88
50903 Villamayor de Gállego;Viviendas de uso esporádico (entre 251 y 500 kwh);45
50903 Villamayor de Gállego;Viviendas de uso esporádico (entre 501 y 750 kwh);43
50903 Villamayor de Gállego;Viviendas con cosumo entre 751 y 1.000 kwh;48
50903 Villamayor de Gállego;Viviendas con cosumo entre 1.001 y 2.000 kwh;206
50903 Villamayor de Gállego;Viviendas con cosumo entre 2.001 y 3.000 kwh;222
50903 Villamayor de Gállego;Viviendas con cosumo entre 3.001 y 4.000 kwh;220
50903 Villamayor de Gállego;Viviendas con cosumo entre 4.001 y 5.000 kwh;131
50903 Villamayor de Gállego;Viviendas con cosumo entre 5.001 y 6.000 kwh;51
50903 Villamayor de Gállego;Viviendas con cosumo entre 6.001 y 7.000 kwh;32
50903 Villamayor de Gállego;Viviendas con cosumo entre 7.001 y 8.000 kwh;20
50903 Villamayor de Gállego;Viviendas con cosumo entre 8.001 y 9.000 kwh;9
50903 Villamayor de Gállego;Viviendas con cosumo entre 9.001 y 10.000 kwh;8
50903 Villamayor de Gállego;Viviendas con consumo mayor de 10.000 kwh;21
50999 Resto de Zaragoza;Viviendas totales;70.911
50999 Resto de Zaragoza;Viviendas vacías;27.877
50999 Resto de Zaragoza;Mediana consumo anual;1.550
50999 Resto de Zaragoza;Viviendas con bajo consumo;5.532
50999 Resto de Zaragoza;Viviendas de uso esporádico;9.979
50999 Resto de Zaragoza;Viviendas de uso esporádico (entre 251 y 500 kwh);5.726
50999 Resto de Zaragoza;Viviendas de uso esporádico (entre 501 y 750 kwh);4.253
50999 Resto de Zaragoza;Viviendas con cosumo entre 751 y 1.000 kwh;3.332
50999 Resto de Zaragoza;Viviendas con cosumo entre 1.001 y 2.000 kwh;8.988
50999 Resto de Zaragoza;Viviendas con cosumo entre 2.001 y 3.000 kwh;6.051
50999 Resto de Zaragoza;Viviendas con cosumo entre 3.001 y 4.000 kwh;3.958
50999 Resto de Zaragoza;Viviendas con cosumo entre 4.001 y 5.000 kwh;2.235
50999 Resto de Zaragoza;Viviendas con cosumo entre 5.001 y 6.000 kwh;1.078
50999 Resto de Zaragoza;Viviendas con cosumo entre 6.001 y 7.000 kwh;524
50999 Resto de Zaragoza;Viviendas con cosumo entre 7.001 y 8.000 kwh;340
50999 Resto de Zaragoza;Viviendas con cosumo entre 8.001 y 9.000 kwh;229
50999 Resto de Zaragoza;Viviendas con cosumo entre 9.001 y 10.000 kwh;176
50999 Resto de Zaragoza;Viviendas con consumo mayor de 10.000 kwh;612
03 Asturias, Principado de;Viviendas totales;674.342
03 Asturias, Principado de;Viviendas vacías;100.714
03 Asturias, Principado de;Mediana consumo anual;1.792
03 Asturias, Principado de;Viviendas con bajo consumo;27.416
03 Asturias, Principado de;Viviendas de uso esporádico;77.595
03 Asturias, Principado de;Viviendas de uso esporádico (entre 251 y 500 kwh);37.934
03 Asturias, Principado de;Viviendas de uso esporádico (entre 501 y 750 kwh);39.661
03 Asturias, Principado de;Viviendas con cosumo entre 751 y 1.000 kwh;43.964
03 Asturias, Principado de;Viviendas con cosumo entre 1.001 y 2.000 kwh;187.008
03 Asturias, Principado de;Viviendas con cosumo entre 2.001 y 3.000 kwh;116.901
03 Asturias, Principado de;Viviendas con cosumo entre 3.001 y 4.000 kwh;53.061
03 Asturias, Principado de;Viviendas con cosumo entre 4.001 y 5.000 kwh;26.588
03 Asturias, Principado de;Viviendas con cosumo entre 5.001 y 6.000 kwh;14.551
03 Asturias, Principado de;Viviendas con cosumo entre 6.001 y 7.000 kwh;8.793
03 Asturias, Principado de;Viviendas con cosumo entre 7.001 y 8.000 kwh;5.410
03 Asturias, Principado de;Viviendas con cosumo entre 8.001 y 9.000 kwh;3.441
03 Asturias, Principado de;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.369
03 Asturias, Principado de;Viviendas con consumo mayor de 10.000 kwh;6.531
33 Asturias;Viviendas totales;674.342
33 Asturias;Viviendas vacías;100.714
33 Asturias;Mediana consumo anual;1.792
33 Asturias;Viviendas con bajo consumo;27.416
33 Asturias;Viviendas de uso esporádico;77.595
33 Asturias;Viviendas de uso esporádico (entre 251 y 500 kwh);37.934
33 Asturias;Viviendas de uso esporádico (entre 501 y 750 kwh);39.661
33 Asturias;Viviendas con cosumo entre 751 y 1.000 kwh;43.964
33 Asturias;Viviendas con cosumo entre 1.001 y 2.000 kwh;187.008
33 Asturias;Viviendas con cosumo entre 2.001 y 3.000 kwh;116.901
33 Asturias;Viviendas con cosumo entre 3.001 y 4.000 kwh;53.061
33 Asturias;Viviendas con cosumo entre 4.001 y 5.000 kwh;26.588
33 Asturias;Viviendas con cosumo entre 5.001 y 6.000 kwh;14.551
33 Asturias;Viviendas con cosumo entre 6.001 y 7.000 kwh;8.793
33 Asturias;Viviendas con cosumo entre 7.001 y 8.000 kwh;5.410
33 Asturias;Viviendas con cosumo entre 8.001 y 9.000 kwh;3.441
33 Asturias;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.369
33 Asturias;Viviendas con consumo mayor de 10.000 kwh;6.531
33001 Allande;Viviendas totales;1.718
33001 Allande;Viviendas vacías;698
33001 Allande;Mediana consumo anual;1.896
33001 Allande;Viviendas con bajo consumo;96
33001 Allande;Viviendas de uso esporádico;149
33001 Allande;Viviendas de uso esporádico (entre 251 y 500 kwh);86
33001 Allande;Viviendas de uso esporádico (entre 501 y 750 kwh);63
33001 Allande;Viviendas con cosumo entre 751 y 1.000 kwh;88
33001 Allande;Viviendas con cosumo entre 1.001 y 2.000 kwh;244
33001 Allande;Viviendas con cosumo entre 2.001 y 3.000 kwh;185
33001 Allande;Viviendas con cosumo entre 3.001 y 4.000 kwh;91
33001 Allande;Viviendas con cosumo entre 4.001 y 5.000 kwh;61
33001 Allande;Viviendas con cosumo entre 5.001 y 6.000 kwh;33
33001 Allande;Viviendas con cosumo entre 6.001 y 7.000 kwh;21
33001 Allande;Viviendas con cosumo entre 7.001 y 8.000 kwh;17
33001 Allande;Viviendas con cosumo entre 8.001 y 9.000 kwh;5
33001 Allande;Viviendas con cosumo entre 9.001 y 10.000 kwh;6
33001 Allande;Viviendas con consumo mayor de 10.000 kwh;24
33002 Aller;Viviendas totales;11.034
33002 Aller;Viviendas vacías;4.314
33002 Aller;Mediana consumo anual;1.664
33002 Aller;Viviendas con bajo consumo;581
33002 Aller;Viviendas de uso esporádico;1.179
33002 Aller;Viviendas de uso esporádico (entre 251 y 500 kwh);625
33002 Aller;Viviendas de uso esporádico (entre 501 y 750 kwh);554
33002 Aller;Viviendas con cosumo entre 751 y 1.000 kwh;548
33002 Aller;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.987
33002 Aller;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.246
33002 Aller;Viviendas con cosumo entre 3.001 y 4.000 kwh;579
33002 Aller;Viviendas con cosumo entre 4.001 y 5.000 kwh;259
33002 Aller;Viviendas con cosumo entre 5.001 y 6.000 kwh;109
33002 Aller;Viviendas con cosumo entre 6.001 y 7.000 kwh;70
33002 Aller;Viviendas con cosumo entre 7.001 y 8.000 kwh;43
33002 Aller;Viviendas con cosumo entre 8.001 y 9.000 kwh;25
33002 Aller;Viviendas con cosumo entre 9.001 y 10.000 kwh;26
33002 Aller;Viviendas con consumo mayor de 10.000 kwh;68
33004 Avilés;Viviendas totales;42.296
33004 Avilés;Viviendas vacías;3.419
33004 Avilés;Mediana consumo anual;2.018
33004 Avilés;Viviendas con bajo consumo;1.102
33004 Avilés;Viviendas de uso esporádico;3.572
33004 Avilés;Viviendas de uso esporádico (entre 251 y 500 kwh);1.647
33004 Avilés;Viviendas de uso esporádico (entre 501 y 750 kwh);1.925
33004 Avilés;Viviendas con cosumo entre 751 y 1.000 kwh;2.419
33004 Avilés;Viviendas con cosumo entre 1.001 y 2.000 kwh;12.663
33004 Avilés;Viviendas con cosumo entre 2.001 y 3.000 kwh;9.053
33004 Avilés;Viviendas con cosumo entre 3.001 y 4.000 kwh;4.214
33004 Avilés;Viviendas con cosumo entre 4.001 y 5.000 kwh;2.384
33004 Avilés;Viviendas con cosumo entre 5.001 y 6.000 kwh;1.388
33004 Avilés;Viviendas con cosumo entre 6.001 y 7.000 kwh;789
33004 Avilés;Viviendas con cosumo entre 7.001 y 8.000 kwh;482
33004 Avilés;Viviendas con cosumo entre 8.001 y 9.000 kwh;263
33004 Avilés;Viviendas con cosumo entre 9.001 y 10.000 kwh;179
33004 Avilés;Viviendas con consumo mayor de 10.000 kwh;369
33005 Belmonte de Miranda;Viviendas totales;2.747
33005 Belmonte de Miranda;Viviendas vacías;1.513
33005 Belmonte de Miranda;Mediana consumo anual;1.649
33005 Belmonte de Miranda;Viviendas con bajo consumo;157
33005 Belmonte de Miranda;Viviendas de uso esporádico;251
33005 Belmonte de Miranda;Viviendas de uso esporádico (entre 251 y 500 kwh);129
33005 Belmonte de Miranda;Viviendas de uso esporádico (entre 501 y 750 kwh);122
33005 Belmonte de Miranda;Viviendas con cosumo entre 751 y 1.000 kwh;90
33005 Belmonte de Miranda;Viviendas con cosumo entre 1.001 y 2.000 kwh;298
33005 Belmonte de Miranda;Viviendas con cosumo entre 2.001 y 3.000 kwh;148
33005 Belmonte de Miranda;Viviendas con cosumo entre 3.001 y 4.000 kwh;120
33005 Belmonte de Miranda;Viviendas con cosumo entre 4.001 y 5.000 kwh;74
33005 Belmonte de Miranda;Viviendas con cosumo entre 5.001 y 6.000 kwh;30
33005 Belmonte de Miranda;Viviendas con cosumo entre 6.001 y 7.000 kwh;17
33005 Belmonte de Miranda;Viviendas con cosumo entre 7.001 y 8.000 kwh;14
33005 Belmonte de Miranda;Viviendas con cosumo entre 8.001 y 9.000 kwh;6
33005 Belmonte de Miranda;Viviendas con cosumo entre 9.001 y 10.000 kwh;10
33005 Belmonte de Miranda;Viviendas con consumo mayor de 10.000 kwh;19
33006 Bimenes;Viviendas totales;2.356
33006 Bimenes;Viviendas vacías;1.332
33006 Bimenes;Mediana consumo anual;1.852
33006 Bimenes;Viviendas con bajo consumo;70
33006 Bimenes;Viviendas de uso esporádico;192
33006 Bimenes;Viviendas de uso esporádico (entre 251 y 500 kwh);95
33006 Bimenes;Viviendas de uso esporádico (entre 501 y 750 kwh);97
33006 Bimenes;Viviendas con cosumo entre 751 y 1.000 kwh;68
33006 Bimenes;Viviendas con cosumo entre 1.001 y 2.000 kwh;253
33006 Bimenes;Viviendas con cosumo entre 2.001 y 3.000 kwh;190
33006 Bimenes;Viviendas con cosumo entre 3.001 y 4.000 kwh;122
33006 Bimenes;Viviendas con cosumo entre 4.001 y 5.000 kwh;57
33006 Bimenes;Viviendas con cosumo entre 5.001 y 6.000 kwh;28
33006 Bimenes;Viviendas con cosumo entre 6.001 y 7.000 kwh;14
33006 Bimenes;Viviendas con cosumo entre 7.001 y 8.000 kwh;10
33006 Bimenes;Viviendas con cosumo entre 8.001 y 9.000 kwh;8
33006 Bimenes;Viviendas con cosumo entre 9.001 y 10.000 kwh;4
33006 Bimenes;Viviendas con consumo mayor de 10.000 kwh;8
33007 Boal;Viviendas totales;1.817
33007 Boal;Viviendas vacías;848
33007 Boal;Mediana consumo anual;1.691
33007 Boal;Viviendas con bajo consumo;90
33007 Boal;Viviendas de uso esporádico;186
33007 Boal;Viviendas de uso esporádico (entre 251 y 500 kwh);103
33007 Boal;Viviendas de uso esporádico (entre 501 y 750 kwh);83
33007 Boal;Viviendas con cosumo entre 751 y 1.000 kwh;93
33007 Boal;Viviendas con cosumo entre 1.001 y 2.000 kwh;220
33007 Boal;Viviendas con cosumo entre 2.001 y 3.000 kwh;158
33007 Boal;Viviendas con cosumo entre 3.001 y 4.000 kwh;87
33007 Boal;Viviendas con cosumo entre 4.001 y 5.000 kwh;38
33007 Boal;Viviendas con cosumo entre 5.001 y 6.000 kwh;36
33007 Boal;Viviendas con cosumo entre 6.001 y 7.000 kwh;16
33007 Boal;Viviendas con cosumo entre 7.001 y 8.000 kwh;11
33007 Boal;Viviendas con cosumo entre 8.001 y 9.000 kwh;5
33007 Boal;Viviendas con cosumo entre 9.001 y 10.000 kwh;3
33007 Boal;Viviendas con consumo mayor de 10.000 kwh;26
33008 Cabrales;Viviendas totales;3.111
33008 Cabrales;Viviendas vacías;1.549
33008 Cabrales;Mediana consumo anual;1.440
33008 Cabrales;Viviendas con bajo consumo;182
33008 Cabrales;Viviendas de uso esporádico;377
33008 Cabrales;Viviendas de uso esporádico (entre 251 y 500 kwh);207
33008 Cabrales;Viviendas de uso esporádico (entre 501 y 750 kwh);170
33008 Cabrales;Viviendas con cosumo entre 751 y 1.000 kwh;132
33008 Cabrales;Viviendas con cosumo entre 1.001 y 2.000 kwh;366
33008 Cabrales;Viviendas con cosumo entre 2.001 y 3.000 kwh;225
33008 Cabrales;Viviendas con cosumo entre 3.001 y 4.000 kwh;110
33008 Cabrales;Viviendas con cosumo entre 4.001 y 5.000 kwh;55
33008 Cabrales;Viviendas con cosumo entre 5.001 y 6.000 kwh;23
33008 Cabrales;Viviendas con cosumo entre 6.001 y 7.000 kwh;20
33008 Cabrales;Viviendas con cosumo entre 7.001 y 8.000 kwh;15
33008 Cabrales;Viviendas con cosumo entre 8.001 y 9.000 kwh;8
33008 Cabrales;Viviendas con cosumo entre 9.001 y 10.000 kwh;4
33008 Cabrales;Viviendas con consumo mayor de 10.000 kwh;45
33009 Cabranes;Viviendas totales;1.231
33009 Cabranes;Viviendas vacías;428
33009 Cabranes;Mediana consumo anual;1.639
33009 Cabranes;Viviendas con bajo consumo;83
33009 Cabranes;Viviendas de uso esporádico;164
33009 Cabranes;Viviendas de uso esporádico (entre 251 y 500 kwh);103
33009 Cabranes;Viviendas de uso esporádico (entre 501 y 750 kwh);61
33009 Cabranes;Viviendas con cosumo entre 751 y 1.000 kwh;59
33009 Cabranes;Viviendas con cosumo entre 1.001 y 2.000 kwh;192
33009 Cabranes;Viviendas con cosumo entre 2.001 y 3.000 kwh;136
33009 Cabranes;Viviendas con cosumo entre 3.001 y 4.000 kwh;72
33009 Cabranes;Viviendas con cosumo entre 4.001 y 5.000 kwh;40
33009 Cabranes;Viviendas con cosumo entre 5.001 y 6.000 kwh;23
33009 Cabranes;Viviendas con cosumo entre 6.001 y 7.000 kwh;10
33009 Cabranes;Viviendas con cosumo entre 7.001 y 8.000 kwh;3
33009 Cabranes;Viviendas con cosumo entre 8.001 y 9.000 kwh;8
33009 Cabranes;Viviendas con cosumo entre 9.001 y 10.000 kwh;3
33009 Cabranes;Viviendas con consumo mayor de 10.000 kwh;10
33010 Candamo;Viviendas totales;1.501
33010 Candamo;Viviendas vacías;340
33010 Candamo;Mediana consumo anual;2.246
33010 Candamo;Viviendas con bajo consumo;59
33010 Candamo;Viviendas de uso esporádico;160
33010 Candamo;Viviendas de uso esporádico (entre 251 y 500 kwh);96
33010 Candamo;Viviendas de uso esporádico (entre 501 y 750 kwh);64
33010 Candamo;Viviendas con cosumo entre 751 y 1.000 kwh;64
33010 Candamo;Viviendas con cosumo entre 1.001 y 2.000 kwh;271
33010 Candamo;Viviendas con cosumo entre 2.001 y 3.000 kwh;223
33010 Candamo;Viviendas con cosumo entre 3.001 y 4.000 kwh;152
33010 Candamo;Viviendas con cosumo entre 4.001 y 5.000 kwh;100
33010 Candamo;Viviendas con cosumo entre 5.001 y 6.000 kwh;53
33010 Candamo;Viviendas con cosumo entre 6.001 y 7.000 kwh;28
33010 Candamo;Viviendas con cosumo entre 7.001 y 8.000 kwh;19
33010 Candamo;Viviendas con cosumo entre 8.001 y 9.000 kwh;10
33010 Candamo;Viviendas con cosumo entre 9.001 y 10.000 kwh;6
33010 Candamo;Viviendas con consumo mayor de 10.000 kwh;16
33011 Cangas del Narcea;Viviendas totales;7.823
33011 Cangas del Narcea;Viviendas vacías;1.428
33011 Cangas del Narcea;Mediana consumo anual;2.254
33011 Cangas del Narcea;Viviendas con bajo consumo;349
33011 Cangas del Narcea;Viviendas de uso esporádico;822
33011 Cangas del Narcea;Viviendas de uso esporádico (entre 251 y 500 kwh);429
33011 Cangas del Narcea;Viviendas de uso esporádico (entre 501 y 750 kwh);393
33011 Cangas del Narcea;Viviendas con cosumo entre 751 y 1.000 kwh;353
33011 Cangas del Narcea;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.523
33011 Cangas del Narcea;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.179
33011 Cangas del Narcea;Viviendas con cosumo entre 3.001 y 4.000 kwh;702
33011 Cangas del Narcea;Viviendas con cosumo entre 4.001 y 5.000 kwh;496
33011 Cangas del Narcea;Viviendas con cosumo entre 5.001 y 6.000 kwh;322
33011 Cangas del Narcea;Viviendas con cosumo entre 6.001 y 7.000 kwh;211
33011 Cangas del Narcea;Viviendas con cosumo entre 7.001 y 8.000 kwh;129
33011 Cangas del Narcea;Viviendas con cosumo entre 8.001 y 9.000 kwh;98
33011 Cangas del Narcea;Viviendas con cosumo entre 9.001 y 10.000 kwh;63
33011 Cangas del Narcea;Viviendas con consumo mayor de 10.000 kwh;148
33012 Cangas de Onís;Viviendas totales;5.259
33012 Cangas de Onís;Viviendas vacías;939
33012 Cangas de Onís;Mediana consumo anual;1.663
33012 Cangas de Onís;Viviendas con bajo consumo;331
33012 Cangas de Onís;Viviendas de uso esporádico;777
33012 Cangas de Onís;Viviendas de uso esporádico (entre 251 y 500 kwh);403
33012 Cangas de Onís;Viviendas de uso esporádico (entre 501 y 750 kwh);374
33012 Cangas de Onís;Viviendas con cosumo entre 751 y 1.000 kwh;372
33012 Cangas de Onís;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.246
33012 Cangas de Onís;Viviendas con cosumo entre 2.001 y 3.000 kwh;743
33012 Cangas de Onís;Viviendas con cosumo entre 3.001 y 4.000 kwh;344
33012 Cangas de Onís;Viviendas con cosumo entre 4.001 y 5.000 kwh;196
33012 Cangas de Onís;Viviendas con cosumo entre 5.001 y 6.000 kwh;99
33012 Cangas de Onís;Viviendas con cosumo entre 6.001 y 7.000 kwh;55
